Code,Year,Access to clean fuels cooking %,IDCFA
CIV,2005,18.67066026,2005CIV
CIV,2006,18.65323782,2006CIV
CIV,2007,18.63256097,2007CIV
CIV,2008,18.61026883,2008CIV
CIV,2009,18.58651042,2009CIV
CIV,2010,18.56144071,2010CIV
CIV,2011,18.53519082,2011CIV
CIV,2012,18.5079217,2012CIV
CIV,2013,18.47977638,2013CIV
CIV,2014,18.45089793,2014CIV
CIV,2015,17.96,2015CIV
CIV,2016,18.23,2016CIV
HRV,2000,80.41,2000HRV
HRV,2001,81.68,2001HRV
HRV,2002,82.85,2002HRV
HRV,2003,84.03,2003HRV
HRV,2004,85.07,2004HRV
HRV,2005,85.77,2005HRV
HRV,2006,86.93,2006HRV
HRV,2007,87.55,2007HRV
HRV,2008,88.48,2008HRV
HRV,2009,89.18,2009HRV
HRV,2010,89.91,2010HRV
HRV,2011,90.54,2011HRV
HRV,2012,90.91,2012HRV
HRV,2013,91.33,2013HRV
HRV,2014,91.96,2014HRV
HRV,2015,92.28,2015HRV
HRV,2016,92.7,2016HRV
CUB,2000,68.34,2000CUB
CUB,2001,69.42,2001CUB
CUB,2002,70.37,2002CUB
CUB,2003,71.31,2003CUB
CUB,2004,72.2,2004CUB
CUB,2005,73,2005CUB
CUB,2006,73.78,2006CUB
CUB,2007,74.61,2007CUB
CUB,2008,75.35,2008CUB
CUB,2009,75.86,2009CUB
CUB,2010,76.59,2010CUB
CUB,2011,77.01,2011CUB
CUB,2012,77.76,2012CUB
CUB,2013,78.2,2013CUB
CUB,2014,78.64,2014CUB
CUB,2015,79.04,2015CUB
CUB,2016,79.44,2016CUB
CYP,2000,100,2000CYP
CYP,2001,100,2001CYP
CYP,2002,100,2002CYP
CYP,2003,100,2003CYP
CYP,2004,100,2004CYP
CYP,2005,100,2005CYP
CYP,2006,100,2006CYP
CYP,2007,100,2007CYP
CYP,2008,100,2008CYP
CYP,2009,100,2009CYP
CYP,2010,100,2010CYP
CYP,2011,100,2011CYP
CYP,2012,100,2012CYP
CYP,2013,100,2013CYP
CYP,2014,100,2014CYP
CYP,2015,100,2015CYP
CYP,2016,100,2016CYP
CZE,2000,93.2,2000CZE
CZE,2001,93.82,2001CZE
CZE,2002,94.4,2002CZE
CZE,2003,94.83,2003CZE
CZE,2004,95.26,2004CZE
CZE,2005,95.65,2005CZE
CZE,2006,95.91,2006CZE
CZE,2007,96.19,2007CZE
CZE,2008,96.46,2008CZE
CZE,2009,96.68,2009CZE
CZE,2010,96.78,2010CZE
CZE,2011,96.77,2011CZE
CZE,2012,96.99,2012CZE
CZE,2013,97.07,2013CZE
CZE,2014,97.14,2014CZE
CZE,2015,97.17,2015CZE
CZE,2016,97.13,2016CZE
COD,2000,3.57,2000COD
COD,2001,3.62,2001COD
COD,2002,3.63,2002COD
COD,2003,3.61,2003COD
COD,2004,3.61,2004COD
COD,2005,3.62,2005COD
COD,2006,3.61,2006COD
COD,2007,3.65,2007COD
COD,2008,3.68,2008COD
COD,2009,3.73,2009COD
COD,2010,3.78,2010COD
COD,2011,3.84,2011COD
COD,2012,3.83,2012COD
COD,2013,3.9,2013COD
COD,2014,3.93,2014COD
COD,2015,3.94,2015COD
COD,2016,4.02,2016COD
DNK,2000,100,2000DNK
DNK,2001,100,2001DNK
DNK,2002,100,2002DNK
DNK,2003,100,2003DNK
DNK,2004,100,2004DNK
DNK,2005,100,2005DNK
DNK,2006,100,2006DNK
DNK,2007,100,2007DNK
DNK,2008,100,2008DNK
DNK,2009,100,2009DNK
DNK,2010,100,2010DNK
DNK,2011,100,2011DNK
DNK,2012,100,2012DNK
DNK,2013,100,2013DNK
DNK,2014,100,2014DNK
DNK,2015,100,2015DNK
DNK,2016,100,2016DNK
DJI,2000,5.3,2000DJI
DJI,2001,5.51,2001DJI
DJI,2002,5.74,2002DJI
DJI,2003,6.02,2003DJI
DJI,2004,6.23,2004DJI
DJI,2005,6.49,2005DJI
DJI,2006,6.85,2006DJI
DJI,2007,7.17,2007DJI
DJI,2008,7.59,2008DJI
DJI,2009,7.91,2009DJI
DJI,2010,8.38,2010DJI
