Code,Year,ValPol,IDO
EGY,2011,70.78635638,2011EGY
EGY,2012,72.79056861,2012EGY
EGY,2013,76.21365354,2013EGY
EGY,2014,76.55960126,2014EGY
EGY,2015,88.21338765,2015EGY
EGY,2016,88.1485004,2016EGY
EGY,2017,86.99945205,2017EGY
EMU,2010,15.1874175,2010EMU
EMU,2011,15.36638618,2011EMU
EMU,2012,14.15750083,2012EMU
EMU,2013,13.78814167,2013EMU
EMU,2014,13.22454571,2014EMU
EMU,2015,13.43055357,2015EMU
EMU,2016,12.46607318,2016EMU
EMU,2017,12.52511115,2017EMU
ERI,2010,45.2271386,2010ERI
ERI,2011,45.25744675,2011ERI
ERI,2012,46.13384645,2012ERI
ERI,2013,47.62781596,2013ERI
ERI,2014,44.37494629,2014ERI
ERI,2015,49.82891214,2015ERI
ERI,2016,48.67093668,2016ERI
ERI,2017,48.03019868,2017ERI
ESP,2010,11.3493291,2010ESP
ESP,2011,12.03799789,2011ESP
ESP,2012,11.14962332,2012ESP
ESP,2013,10.74258206,2013ESP
ESP,2014,10.07458883,2014ESP
ESP,2015,10.44910241,2015ESP
ESP,2016,9.704138553,2016ESP
ESP,2017,9.697927863,2017ESP
EST,2010,8.519848763,2010EST
EST,2011,8.442558919,2011EST
EST,2012,7.810698651,2012EST
EST,2013,7.482813578,2013EST
EST,2014,7.705552572,2014EST
EST,2015,7.003727673,2015EST
EST,2016,6.821448031,2016EST
EST,2017,6.732124015,2017EST
ETH,2010,35.63414541,2010ETH
ETH,2011,36.31794195,2011ETH
ETH,2012,35.97384213,2012ETH
ETH,2013,35.88420536,2013ETH
ETH,2014,35.04359745,2014ETH
ETH,2015,38.85860469,2015ETH
ETH,2016,39.24503758,2016ETH
ETH,2017,38.97873776,2017ETH
EUU,2010,15.97908406,2010EUU
EUU,2011,16.15636937,2011EUU
EUU,2012,14.86924373,2012EUU
EUU,2013,14.39668788,2013EUU
EUU,2014,13.81144457,2014EUU
EUU,2015,13.9960792,2015EUU
EUU,2016,13.05569067,2016EUU
EUU,2017,13.0800302,2017EUU
FCS,2010,41.86378149,2010FCS
FCS,2011,42.28299726,2011FCS
FCS,2012,42.41884034,2012FCS
FCS,2013,41.74705658,2013FCS
FCS,2014,40.10985565,2014FCS
FCS,2015,44.08148782,2015FCS
FCS,2016,42.28837341,2016FCS
FCS,2017,42.21731512,2017FCS
FIN,2010,7.190331396,2010FIN
FIN,2011,7.283699708,2011FIN
FIN,2012,6.601133581,2012FIN
FIN,2013,6.278689198,2013FIN
FIN,2014,6.468639868,2014FIN
FIN,2015,6.063834353,2015FIN
FIN,2016,5.893757483,2016FIN
FIN,2017,5.861331001,2017FIN
FJI,2010,13.53381346,2010FJI
FJI,2011,13.83646142,2011FJI
FJI,2012,12.85205328,2012FJI
FJI,2013,12.14461761,2013FJI
FJI,2014,11.92289283,2014FJI
FJI,2015,11.64194513,2015FJI
FJI,2016,11.05934316,2016FJI
FJI,2017,10.8401599,2017FJI
FRA,2010,14.84562127,2010FRA
FRA,2011,14.87801926,2011FRA
FRA,2012,13.83475371,2012FRA
FRA,2013,13.5943087,2013FRA
FRA,2014,12.28970307,2014FRA
FRA,2015,12.74570798,2015FRA
FRA,2016,11.85518422,2016FRA
FRA,2017,11.81496362,2017FRA
FSM,2010,13.7492452,2010FSM
FSM,2011,13.7316521,2011FSM
FSM,2012,12.97443872,2012FSM
FSM,2013,12.74251533,2013FSM
FSM,2014,11.86686885,2014FSM
FSM,2015,11.72598465,2015FSM
FSM,2016,11.13451107,2016FSM
FSM,2017,11.28339944,2017FSM
GAB,2010,40.27757856,2010GAB
GAB,2011,41.13028375,2011GAB
GAB,2012,40.8140906,2012GAB
GAB,2013,40.72566252,2013GAB
GAB,2014,41.31956969,2014GAB
GAB,2015,44.09590117,2015GAB
GAB,2016,43.72065291,2016GAB
GAB,2017,44.38554846,2017GAB
GBR,2010,12.29910815,2010GBR
GBR,2011,12.84799901,2011GBR
GBR,2012,11.81449494,2012GBR
GBR,2013,11.61890149,2013GBR
GBR,2014,10.80055978,2014GBR
GBR,2015,10.75487287,2015GBR
GBR,2016,10.50466684,2016GBR
GBR,2017,10.47269039,2017GBR
GEO,2010,26.10123773,2010GEO
GEO,2011,26.78360332,2011GEO
GEO,2012,25.00284928,2012GEO
GEO,2013,23.91020353,2013GEO
GEO,2014,22.96670742,2014GEO
GEO,2015,24.25264627,2015GEO
GEO,2016,21.82963618,2016GEO
GEO,2017,22.19605462,2017GEO
GHA,2010,27.36828359,2010GHA
GHA,2011,28.21169897,2011GHA
GHA,2012,28.89742723,2012GHA
GHA,2013,27.81534006,2013GHA
GHA,2014,25.8895233,2014GHA
GHA,2015,34.68190071,2015GHA
GHA,2016,36.25265622,2016GHA
GHA,2017,34.7135141,2017GHA
GIN,2010,21.97102786,2010GIN
GIN,2011,22.44535934,2011GIN
GIN,2012,22.98996509,2012GIN
GIN,2013,21.25856145,2013GIN
GIN,2014,21.19667275,2014GIN
GIN,2015,26.94288524,2015GIN
GIN,2016,24.77771417,2016GIN
GIN,2017,26.0624902,2017GIN
GMB,2010,30.20126341,2010GMB
GMB,2011,29.26492223,2011GMB
GMB,2012,30.72906478,2012GMB
GMB,2013,29.80467273,2013GMB
GMB,2014,30.62189539,2014GMB
GMB,2015,36.30538082,2015GMB
GMB,2016,32.61530208,2016GMB
GMB,2017,33.98263855,2017GMB
GNB,2010,26.83635957,2010GNB
GNB,2011,27.38943995,2011GNB
GNB,2012,27.0902178,2012GNB
GNB,2013,26.52420728,2013GNB
GNB,2014,26.94095978,2014GNB
GNB,2015,31.79127202,2015GNB
GNB,2016,29.58586773,2016GNB
GNB,2017,29.77470228,2017GNB
GNQ,2010,46.18648655,2010GNQ
GNQ,2011,46.85258767,2011GNQ
GNQ,2012,45.23237247,2012GNQ
GNQ,2013,43.62579322,2013GNQ
GNQ,2014,44.30179969,2014GNQ
GNQ,2015,52.63437057,2015GNQ
GNQ,2016,54.50903017,2016GNQ
GNQ,2017,53.24062104,2017GNQ
GRC,2010,19.06108814,2010GRC
GRC,2011,20.00154124,2011GRC
GRC,2012,18.4207689,2012GRC
GRC,2013,17.77941628,2013GRC
GRC,2014,17.36504185,2014GRC
GRC,2015,17.74055711,2015GRC
GRC,2016,16.3289203,2016GRC
GRC,2017,16.21826638,2017GRC
GRD,2010,27.47290781,2010GRD
GRD,2011,28.13951521,2011GRD
GRD,2012,26.46891843,2012GRD
GRD,2013,25.84730814,2013GRD
GRD,2014,24.28703113,2014GRD
GRD,2015,24.16278293,2015GRD
GRD,2016,22.88869124,2016GRD
GRD,2017,22.72268748,2017GRD
GRL,2010,13.92232395,2010GRL
GRL,2011,14.09660544,2011GRL
GRL,2012,13.40669025,2012GRL
GRL,2013,12.75796756,2013GRL
GRL,2014,12.51054773,2014GRL
