Code,Year,Consumption of Ozone-Depleting Substances ,IDCODS
KHM,2008,9.3,2008KHM
KHM,2009,17.1,2009KHM
KHM,2010,12.8,2010KHM
KHM,2011,13.71,2011KHM
KHM,2012,10.12,2012KHM
KHM,2013,9.47,2013KHM
KHM,2014,11.19,2014KHM
CMR,1989,113.5,1989CMR
CMR,1990,125.1,1990CMR
CMR,1991,118.6,1991CMR
CMR,1992,103.1,1992CMR
CMR,1993,213.7,1993CMR
CMR,1994,213.7,1994CMR
CMR,1995,282.6,1995CMR
CMR,1996,333.5,1996CMR
CMR,1997,285.3,1997CMR
CMR,1998,337.6,1998CMR
CMR,1999,403.7,1999CMR
CMR,2000,408.9,2000CMR
CMR,2001,403.8,2001CMR
CMR,2002,261.7,2002CMR
CMR,2003,233.6,2003CMR
CMR,2004,160,2004CMR
CMR,2005,141,2005CMR
CMR,2006,128.7,2006CMR
CMR,2007,42.7,2007CMR
CMR,2008,36.1,2008CMR
CMR,2009,102.7,2009CMR
CMR,2010,67.4,2010CMR
CMR,2011,65.78,2011CMR
CMR,2012,62.78,2012CMR
CMR,2013,82.34,2013CMR
CAN,1989,29434.6,1989CAN
CAN,1990,9917.9,1990CAN
CAN,1991,9285.4,1991CAN
CAN,1992,8642,1992CAN
CAN,1993,4533.2,1993CAN
CAN,1994,4050.2,1994CAN
CAN,1995,4808.6,1995CAN
CAN,1996,952.1,1996CAN
CAN,1997,1012.5,1997CAN
CAN,1998,935.5,1998CAN
CAN,1999,873.6,1999CAN
CAN,2000,953.1,2000CAN
CAN,2001,924.8,2001CAN
CAN,2002,923.1,2002CAN
CAN,2003,832.6,2003CAN
CAN,2004,602.8,2004CAN
CAN,2005,594.1,2005CAN
CAN,2006,576.4,2006CAN
CAN,2007,559.4,2007CAN
CAN,2008,509.9,2008CAN
CAN,2009,274.4,2009CAN
CAN,2010,65.2,2010CAN
CAN,2011,57.93,2011CAN
CAN,2012,61.83,2012CAN
CAN,2013,65.91,2013CAN
CAN,2014,54.25,2014CAN
CPV,1989,2.1,1989CPV
CPV,1990,2.2,1990CPV
CPV,1991,2.1,1991CPV
CPV,1992,2.2,1992CPV
CPV,1993,2.3,1993CPV
CPV,1994,2.3,1994CPV
CPV,1995,2.4,1995CPV
CPV,1996,2.3,1996CPV
CPV,1997,2.2,1997CPV
CPV,1998,2.1,1998CPV
CPV,1999,2,1999CPV
CPV,2000,1.9,2000CPV
CPV,2001,1.9,2001CPV
CPV,2002,1.8,2002CPV
CPV,2003,1.8,2003CPV
CPV,2004,1.5,2004CPV
CPV,2005,0.9,2005CPV
CPV,2006,0.2,2006CPV
CPV,2007,0.2,2007CPV
CPV,2008,0.2,2008CPV
CPV,2009,1.8,2009CPV
CPV,2010,0.3,2010CPV
CPV,2011,0.28,2011CPV
CPV,2012,0.23,2012CPV
CPV,2013,0.17,2013CPV
CPV,2014,0.17,2014CPV
,1989,2504,
,1991,1433.8,
,1995,2003.6,
,1996,1995,
,1997,1882.6,
,1998,1688.3,
,1999,1952.7,
,2000,1669.3,
,2001,1627.5,
,2002,1356,
,2003,1110.9,
,2004,1117.7,
,2005,683.9,
,2006,654.7,
,2007,248.5,
,2008,219.5,
,2009,162.82,
,2010,161.32,
,2011,117.47,
,2012,164.7,
,2013,98.78,
,1989,233.7,
,1991,346.7,
